station_name,,lines,historical,borough,county,latitude,longitude,wifi_available,at_t,sprint,t_mobile,verizon
179th St,,,FALSE,Queens,Queens County,40.712646,-73.783817,No,Yes,Yes,Yes,Yes
Cypress Avenue,,6,FALSE,Bronx,Bronx County,40.805368,-73.914042,No,Yes,Yes,Yes,Yes
110th St/Central Park N,,23,FALSE,Manhattan,New York County,40.799075,-73.951822,No,Yes,Yes,Yes,Yes
Lexington Ave,,,FALSE,Manhattan,New York County,40.76266,-73.967258,No,Yes,Yes,Yes,Yes
163rd St,,,FALSE,Manhattan,New York County,40.836013,-73.939892,No,Yes,Yes,Yes,Yes
Lexington Ave,,,FALSE,Manhattan,New York County,40.76463,-73.966115,No,No,No,No,No
Union Turnpike,,,FALSE,Queens,Queens County,40.714441,-73.831008,No,Yes,Yes,Yes,Yes
Franklin St,,1,FALSE,Manhattan,New York County,40.719318,-74.006886,No,No,Yes,No,No
36th St,,,FALSE,Brooklyn,Kings County,40.655144,-74.003549,No,No,No,No,No
86th St,,,FALSE,Brooklyn,Kings County,40.622687,-74.028398,No,No,No,No,No
Times Square,,,TRUE,Manhattan,New York County,40.754672,-73.986754,No,Yes,Yes,Yes,Yes
Delancey St,,,FALSE,Manhattan,New York County,40.718611,-73.988114,No,Yes,Yes,Yes,Yes
Bedford Park Blvd,,,FALSE,Bronx,Bronx County,40.873244,-73.887138,No,Yes,Yes,Yes,Yes
148th St,,3,FALSE,Manhattan,New York County,40.82388,-73.93647,No,Yes,Yes,Yes,Yes
Church Ave,,,FALSE,Brooklyn,New York County,40.644041,-73.979678,No,No,No,No,No
45th St,,,FALSE,Brooklyn,Kings County,40.648939,-74.010006,No,No,No,No,No
Fulton St,,23,FALSE,Manhattan,New York County,40.709416,-74.006571,No,Yes,Yes,Yes,Yes
Times Square,,7,TRUE,Manhattan,New York County,40.755477,-73.987691,No,Yes,Yes,Yes,Yes
Van Wyck Blvd,,,FALSE,Queens,Queens County,40.709179,-73.820574,No,Yes,Yes,Yes,Yes
36th St,,,FALSE,Queens,Queens County,40.752039,-73.928781,No,Yes,Yes,Yes,Yes
34th St,,,FALSE,Manhattan,New York County,40.749567,-73.98795,No,Yes,Yes,Yes,Yes
Grand St,,,FALSE,Brooklyn,Kings County,40.711926,-73.94067,No,No,No,No,No
Times Square,,,TRUE,Manhattan,New York County,40.755983,-73.986229,No,Yes,Yes,Yes,Yes
Ely Ave-23rd,,,FALSE,Queens,Queens County,40.747846,-73.946,No,Yes,Yes,Yes,Yes
71st Ave,,,FALSE,Queens,Queens County,40.721691,-73.844521,No,Yes,Yes,Yes,Yes
72nd St,,,FALSE,Manhattan,New York County,40.775594,-73.97641,No,Yes,Yes,Yes,Yes
Fulton St,,,FALSE,Brooklyn,Kings County,40.687119,-73.975375,No,No,No,No,No
67th Ave,,,FALSE,Queens,Queens County,40.726523,-73.852719,No,Yes,Yes,Yes,Yes
47-50 St Rock Ctr,,,FALSE,Manhattan,New York County,40.758663,-73.981329,No,Yes,Yes,Yes,Yes
Franklin Ave,,2345,FALSE,Brooklyn,Kings County,40.670682,-73.958131,No,No,No,No,No
145th St,,1,FALSE,Manhattan,New York County,40.826551,-73.95036,No,Yes,Yes,Yes,Yes
86th St,,1,FALSE,Manhattan,New York County,40.788644,-73.976218,No,Yes,Yes,Yes,Yes
170th St,,,FALSE,Bronx,Bronx County,40.839306,-73.9134,No,Yes,Yes,Yes,Yes
Elmhurst Ave,,,TRUE,Queens,Queens County,40.742454,-73.882017,No,Yes,Yes,Yes,Yes
Vernon-Jackson,,7,FALSE,Queens,Queens County,40.742626,-73.953581,No,Yes,Yes,Yes,Yes
42nd St,,,FALSE,Manhattan,New York County,40.754222,-73.984569,No,Yes,Yes,Yes,Yes
Kingston-Throop,,,FALSE,Brooklyn,Kings County,40.679921,-73.940859,No,No,No,No,No
205th St,,,FALSE,Bronx,Bronx County,40.874811,-73.878855,No,Yes,Yes,Yes,Yes
49th St,,,FALSE,Manhattan,New York County,40.759901,-73.984139,No,Yes,Yes,Yes,Yes
116th St,,,FALSE,Manhattan,New York County,40.805085,-73.954882,No,Yes,Yes,Yes,Yes
86 St,,,FALSE,Manhattan,New York County,40.777925,-73.951753,No,No,No,No,No
Spring St.,,,FALSE,Manhattan,New York County,40.726227,-74.003739,No,No,Yes,No,No
Clinton-Washington,,,FALSE,Brooklyn,Kings County,40.688089,-73.966839,No,No,No,No,No
50th St,,1,FALSE,Manhattan,New York County,40.761728,-73.983849,No,Yes,Yes,Yes,Yes
21st St,,,FALSE,Queens,Queens County,40.754203,-73.942836,No,Yes,Yes,Yes,Yes
Canal St (LL),,,FALSE,Manhattan,New York County,40.718383,-74.00046,No,No,Yes,No,No
23 St,,,FALSE,Manhattan,New York County,40.745906,-73.998041,No,Yes,Yes,Yes,Yes
York St,,,FALSE,Brooklyn,Kings County,40.699743,-73.986885,No,No,No,No,No
Brooklyn Bridge,,456,TRUE,Manhattan,New York County,40.713065,-74.004131,No,No,Yes,No,No
96th St,,,FALSE,Manhattan,New York County,40.791644,-73.964694,No,Yes,Yes,Yes,Yes
Canal St,,1,FALSE,Manhattan,New York County,40.722854,-74.006277,No,No,Yes,No,No
Rector St,,1,FALSE,Manhattan,New York County,40.707513,-74.013783,No,No,Yes,No,No
High St,,,FALSE,Brooklyn,Kings County,40.699337,-73.990531,No,No,No,No,No
Prospect Park-15th St,,,TRUE,Brooklyn,New York County,40.660365,-73.979493,No,No,No,No,No
96th St,,123,FALSE,Manhattan,New York County,40.793919,-73.972323,No,Yes,Yes,Yes,Yes
Union Square,,,TRUE,Manhattan,New York County,40.734789,-73.99073,No,No,No,No,No
Broadway-ENY,,,FALSE,Brooklyn,Kings County,40.678334,-73.905316,No,No,No,No,No
33rd St,,6,TRUE,Manhattan,New York County,40.746081,-73.982076,No,Yes,Yes,Yes,Yes
Shepherd Ave,,,FALSE,Brooklyn,Kings County,40.67413,-73.88075,No,No,No,No,No
Sutphin Blvd,,,FALSE,Queens,Queens County,40.70546,-73.810708,No,Yes,Yes,Yes,Yes
Roosevelt Ave,,,FALSE,Queens,Queens County,40.746644,-73.891338,No,Yes,Yes,Yes,Yes
137th St,,1,FALSE,Manhattan,New York County,40.822008,-73.953676,No,Yes,Yes,Yes,Yes
Flathbush Ave,,25,FALSE,Brooklyn,Kings County,40.632836,-73.947642,No,No,No,No,No
2nd Ave,,,FALSE,Manhattan,New York County,40.723402,-73.989938,No,Yes,Yes,Yes,Yes
Bushwick Ave,,,FALSE,Brooklyn,Kings County,40.682829,-73.905249,No,No,No,No,No
Spring St,,6,FALSE,Manhattan,New York County,40.722301,-73.997141,No,No,Yes,No,No
59th St,,1,TRUE,Manhattan,New York County,40.768247,-73.981929,No,Yes,Yes,Yes,Yes
Astor Place,,6,TRUE,Manhattan,New York County,40.730054,-73.99107,No,No,Yes,No,No
Greenpoint Ave,,,FALSE,Brooklyn,Kings County,40.731352,-73.954449,No,Yes,Yes,No,Yes
Flushing Ave,,,FALSE,Brooklyn,Kings County,40.700377,-73.950234,No,No,No,No,No
14th St/Union Square,,456,TRUE,Manhattan,New York County,40.734673,-73.989951,No,No,No,No,No
Dekalb Ave,,,FALSE,Brooklyn,Kings County,40.690635,-73.981824,No,No,No,No,No
Liberty Ave,,,FALSE,Brooklyn,Kings County,40.674542,-73.896548,No,No,No,No,No
18th St,,1,FALSE,Manhattan,New York County,40.74104,-73.997871,No,Yes,Yes,Yes,Yes
14 St,,,FALSE,Manhattan,New York County,40.738228,-73.996209,No,Yes,Yes,Yes,Yes
Tremont Ave,,,FALSE,Bronx,Bronx County,40.85041,-73.905227,No,Yes,Yes,Yes,Yes
135th St,,23,FALSE,Manhattan,New York County,40.814229,-73.94077,No,Yes,Yes,Yes,Yes
Times Square,,123,TRUE,Manhattan,New York County,40.75529,-73.987495,No,Yes,Yes,Yes,Yes
23rd St,,1,FALSE,Manhattan,New York County,40.744081,-73.995657,No,Yes,Yes,Yes,Yes
75th Ave,,,FALSE,Queens,Queens County,40.718331,-73.837324,No,Yes,Yes,Yes,Yes
110thSt,,,FALSE,Manhattan,New York County,40.800605,-73.958159,No,Yes,Yes,Yes,Yes
59th St,,,FALSE,Brooklyn,Kings County,40.641362,-74.017881,No,No,No,No,No
50th St,,,FALSE,Manhattan,New York County,40.762456,-73.985984,No,Yes,Yes,Yes,Yes
